transformed_date,namespace_value,total_fees,mb_posted
2024-02-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.282028,5.240502
2024-02-08,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.043606,2.310865
2024-01-21,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.047873999999999993,2.516346
2023-11-14,AAAAAAAAAAAAAAAAAAAAAAAAAAAAcm9sbGtpdAA=,0.189982,0.006296
2024-01-25,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.072719,4.214862
2023-12-19,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.13784,8.00988
2024-01-11,AAAAAAAAAAAAAAAAAAAAAAAAADEyMzQ1Njc4OTA=,0.000239,1.1e-05
2023-12-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAHJvY2s3Nzc=,0.001,7e-06
2023-12-22,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.01466,0.85323
2024-01-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAADE4vVvVyRsg=,0.056548000000000008,1.896393
2024-01-20,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.052110999999999991,1.829318
2024-02-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.123581,5.87468
2024-01-07,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,5.5077730000000011,23.479996
2024-01-21,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,6.0831120000000007,27.251824
2024-01-23,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.054266999999999989,1.892482
2024-02-04,AAAAAAAAAAAAAAAAAAAAAAAAAAB0Y2VsZXN0aWE=,0.030414999999999994,1.624554
2023-12-19,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAG11c3RhZmE=,0.00016,2e-06
2024-01-27,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.037926000000000008,2.048241
,AAAAAAAAAAAAAAAAAAAAAAAAAExABw99PL3xzGk=,0.023939999999999996,5.6e-05
2023-11-22,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQmk=,0.00016,2e-06
2023-12-22,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABrZWs=,0.00032,9e-06
2023-12-21,AAAAAAAAAAAAAAAAAAAAAAAAAAAAYmFzaWxpc2s=,0.00016,6e-06
